,epoch,train_loss,train_accuracy,train_f1,test_loss,test_accuracy,test_f1
0,1,0.5328190460300569,0.7336512812222132,0.7326568426824307,0.5135493697893566,0.7420427217428208,0.7407844991629222
1,2,0.5199223054856908,0.7420580389620888,0.7411874371830823,0.521611479342793,0.7446597821474041,0.7446155799018264
2,3,0.5197113558303478,0.744119311292539,0.743264100031046,0.5168362560585074,0.742537841278823,0.739197617486582
3,4,0.51834753771777,0.7436343060383154,0.7428913718778583,0.5161464904767895,0.7406280944971,0.7404376083662887
4,5,0.5163320643341203,0.7450084875919489,0.7442208314922769,0.5156002655557917,0.7481963502617061,0.7475881414036956
5,6,0.5169775695455783,0.744503273785466,0.7435638896144198,0.51132743417947,0.7486207384354223,0.7486207384354223
6,7,0.5157815372759058,0.744240562606095,0.7433761196451358,0.5066882731957673,0.7502475597680012,0.7490392791382081
7,8,0.5152907102761034,0.7443820224719101,0.7435016806012664,0.5070804907725408,0.7484792757108502,0.7473481030988944
8,9,0.5151177198849908,0.7461199579662113,0.7452273475397067,0.5106155103687787,0.7501768284057151,0.7482901972140334
9,10,0.5154106159542882,0.7467868401907687,0.7459032720431888,0.5105773588111497,0.7460036780308389,0.745426822824627
10,11,0.5143830236384419,0.7466049632204349,0.7458009359791832,0.5062387357739841,0.7502475597680012,0.7495854157102988
11,12,0.5148367251844678,0.7467868401907687,0.7460934121272451,0.5089209397993476,0.7515207242891498,0.7514436254844291
12,13,0.5142369520987651,0.7457764125778029,0.7450374622984293,0.5077378164589136,0.7527231574480124,0.7526219255647493
13,14,0.5142322468742228,0.7467262145339908,0.7461185120417808,0.5069485840754272,0.7515207242891498,0.7513022884575637
14,15,0.5135471569783312,0.7470091342656212,0.7463444964112884,0.5088214705702406,0.7502475597680012,0.7501929687395972
15,16,0.5133348738808349,0.7469080915043246,0.7461285861437342,0.507572118513185,0.7518036497382939,0.7516097609207295
16,17,0.5135655361167528,0.7455137013984319,0.7448398315821882,0.5162935345960419,0.7438110057999717,0.7436391999947454
17,18,0.5133221398952396,0.746099749413952,0.7455000908487062,0.5062323974538173,0.7493987834205686,0.7481614304702989
18,19,0.5132240821301783,0.7454126586371352,0.7447240911992876,0.50583968375603,0.7506012165794314,0.7493673019338762
19,20,0.513136031053171,0.7452307816668013,0.7444908028733999,0.5088298250647152,0.7490451266091385,0.7470165869438318
20,21,0.5137224349094608,0.7470293428178806,0.7463882209710635,0.5067520780800694,0.749893902956571,0.7485120437313246
21,22,0.5132786499129401,0.7458774553390995,0.745317155657136,0.5086324569596424,0.7530060828971566,0.7529686654127302
22,23,0.5127878702734175,0.7469485086088432,0.7463154245202748,0.5087672339845027,0.7483378129862781,0.7462250429504861
23,24,0.5131046933721203,0.7465039204591383,0.7458697241001697,0.5085543476348549,0.7498231715942849,0.749807749482149
24,25,0.5128485722520246,0.7458572467868402,0.7452286317286301,0.5071727201949418,0.7490451266091385,0.7474488578845072
25,26,0.5127433850706702,0.7464635033546196,0.7458526491271967,0.5086993742312781,0.7532182769840147,0.7529992556100136
26,27,0.512933919788639,0.7466049632204349,0.7459929353083836,0.5056722224837514,0.7520865751874382,0.7519587082997491
27,28,0.5131257148291097,0.7463018349365451,0.745714595060837,0.5062131807545192,0.7510256047531475,0.7498529500615292
28,29,0.512351082892997,0.7477972678037346,0.7472075689659401,0.5091384673550118,0.7485500070731362,0.7469591693708515
29,30,0.5137113922249131,0.7457562040255437,0.7451247716364117,0.5076530633738677,0.749893902956571,0.7491536942400749
30,31,0.5128837559343309,0.7461805836229892,0.7455435164820192,0.5060669779777527,0.751732918376008,0.751634105345091
31,32,0.5123403828196439,0.7463826691455824,0.7457966057170988,0.506018187665292,0.7533597397085868,0.7531324380222368
32,33,0.5132566470585436,0.744503273785466,0.7439715921602608,0.5146461412378026,0.75187438110058,0.7518699121456431
33,34,0.512623551742051,0.7472112197882144,0.7467018689873762,0.5089445568587445,0.7515914556514358,0.7503172033900896
34,35,0.5126795523465449,0.7463624605933231,0.7458099709984882,0.5054117853824909,0.7528646201725845,0.7526764205350174
35,36,0.5125042536230975,0.7472314283404737,0.7466394145708892,0.5086084864527931,0.7496817088697129,0.7496807959223406
36,37,0.5124915468215326,0.7467666316385094,0.7460155191552031,0.5090781122580912,0.748054887537134,0.746440820447402
37,38,0.5122409079040976,0.7474133053108075,0.7467726405700184,0.5067674277594726,0.7508841420285755,0.7506359844483984
38,39,0.5116960370879456,0.7479791447740683,0.7472646845901352,0.5097942008421972,0.7493987834205686,0.7476796163109165
39,40,0.5124904627331776,0.7465241290113976,0.7458153701383607,0.507493517382652,0.7503890224925732,0.7498422067597674
40,41,0.5121591009141863,0.7475345566243634,0.7467890672862716,0.5104801184181714,0.7530060828971566,0.752972843247234
41,42,0.5129828431886604,0.746099749413952,0.745188003772554,0.506181146764108,0.7524402319988683,0.7522110170438039
42,43,0.5120430407752055,0.7474335138630669,0.7466647060198437,0.5062546850059906,0.7504597538548592,0.7501320553108417
43,44,0.5118352704963018,0.7474537224153261,0.7466934383669803,0.5075879420629993,0.7529353515348706,0.7528524084935095
44,45,0.5122311609660009,0.7466049632204349,0.745710391369929,0.5046838401938996,0.7521573065497241,0.7511353234864149
45,46,0.512090171107334,0.7459380809958774,0.7451196864718141,0.5061202347278595,0.7497524402319988,0.7490798015643259
46,47,0.5116347095300985,0.7463220434888045,0.7455147956728942,0.5048946860958549,0.7510256047531475,0.7506287527005995
47,48,0.5115899018924057,0.7481812302966615,0.7474520230563535,0.5078225397416369,0.751732918376008,0.7517324215503173
48,49,0.5122125044811604,0.7459987066526554,0.7451227210200437,0.5080448707304389,0.7526524260857264,0.7525402599937175
49,50,0.5116511766608679,0.7487874868644411,0.7480379183073693,0.5063904518455402,0.7535719337954448,0.7528311359195738
50,51,0.5115461336780888,0.7476558079379193,0.7470095559316443,0.5110086256562315,0.7494695147828547,0.7493640607029435
51,52,0.5113884505529428,0.7477366421469566,0.7470495602173847,0.5087554034064797,0.750035365681143,0.7490983322659586
52,53,0.5118539473499131,0.7468272572952873,0.7460256718637248,0.5065187300761901,0.7504597538548592,0.7500155015971005
53,54,0.5118388243654902,0.7469080915043246,0.7460986448619569,0.5079939428767467,0.749964634318857,0.7487747272286611
54,55,0.5119693371676659,0.7465241290113976,0.7456894087071932,0.507429941207575,0.7523695006365823,0.7520680262489488
