,epoch,train_loss,train_accuracy,train_f1,valid_loss,valid_accuracy,valid_f1
0,1,3.872198521183227,0.08615213593774813,0.06879295598505712,3.247654467821121,0.176,0.132130014359167
1,2,2.8344636616973102,0.26306177544862636,0.24141068620706524,2.4227850437164307,0.34,0.31184427418986244
2,3,2.154897235976863,0.4112275686835001,0.3990902238480949,1.944745197892189,0.472,0.4414298359019721
3,4,1.7879088947615647,0.5094489439415595,0.5017169120504245,1.664571687579155,0.554,0.5335809925368749
4,5,1.5401840857442866,0.5666984278227728,0.5636247011361277,1.5330890864133835,0.606,0.5943311737282325
5,6,1.3669892861153268,0.6129903128473877,0.6091134826254021,1.4581530839204788,0.598,0.5844788833457564
6,7,1.2219001184865304,0.6528505637605209,0.6509287014749162,1.4395917356014252,0.636,0.6197687573864044
7,8,1.1004695371927948,0.6819120215975861,0.6760542311172381,1.4069885164499283,0.616,0.6011773781773782
8,9,0.9893594338809173,0.7147054152771161,0.7127906827960446,1.3763552010059357,0.66,0.6419236596736597
9,10,0.9564643774540896,0.7251865967921233,0.7231988602884889,1.2418684661388397,0.682,0.677056055056055
10,11,0.8440522070463539,0.7556773066539622,0.7530697355049456,1.2850633561611176,0.666,0.6598797215856039
11,12,0.8001063228561188,0.7691757979990471,0.767221648362318,1.3192949742078781,0.656,0.6513432678432679
12,13,0.761987234583966,0.7738605685246943,0.7733430559176752,1.2557865679264069,0.686,0.6800386557886555
13,14,0.7040409429121743,0.7917262188343656,0.7903350515711073,1.2635913789272308,0.694,0.6875022243838032
14,15,0.6486151802358289,0.8037160552644116,0.8026477083466221,1.2934010177850723,0.672,0.664048507048507
15,16,0.6537526081963844,0.8043512783865333,0.8039196655513368,1.205107070505619,0.678,0.6694111999111999
16,17,0.5815231219917385,0.8268222963315864,0.8250271057521629,1.337001845240593,0.696,0.6872496392496393
17,18,0.5454654740500571,0.8307924408448467,0.8299244374516117,1.299341157078743,0.698,0.6970278936749524
18,19,0.5108244710313488,0.8438939177386057,0.842117943585655,1.2979331314563751,0.694,0.6914770637858874
19,20,0.5117406587158968,0.844767349531523,0.8445192008266492,1.267180785536766,0.726,0.7209856581327171
20,21,0.47062993178210283,0.8562807686199778,0.8556877312078888,1.2614891454577446,0.704,0.6984663669663669
21,22,0.45876068043224705,0.8606479275845641,0.8597164883493097,1.2838314697146416,0.702,0.6923929126429127
22,23,0.4286642667605792,0.8712879148801016,0.8710355861945597,1.241774968802929,0.708,0.7023263403263403
